Codcir;Codmun;Municipio;Mesa;Censo;Certif_alta;Certif_correc;Censo total;Votos_electores;Votos_interventores;Votos_totales;Votos_nulos;Votos_blancos;Geroa Bai;UPN;PSN;EH Bildu;UPyD;I-E;PP;Podemos;Ciudadanos;LN;Equo;PACMA;SAIn;RCN-NOK
31;70;Castejón;1-001 -B;706;0;0;706;519;0;519;10;17;26;154;124;17;6;39;8;90;20;0;1;2;0;5
31;70;Castejón;1-002 -U;637;0;0;637;472;0;472;10;15;10;170;107;22;4;53;11;51;13;0;0;0;3;3
31;70;Castejón;2-001 -U;567;0;0;567;370;0;370;3;8;6;145;87;5;2;29;8;56;12;0;2;4;0;3
31;71;Castillonuevo;1-001 -U;18;0;0;18;15;0;15;0;0;1;10;3;0;0;1;0;0;0;0;0;0;0;0
31;193;Cendea de Olza - Oltza Zendea;1-001 -A;310;0;0;310;233;0;233;4;4;51;58;6;58;0;3;5;34;2;2;2;3;0;1
31;193;Cendea de Olza - Oltza Zendea;1-001 -B;535;0;0;535;406;0;406;5;7;94;104;23;81;1;5;25;43;4;0;7;4;1;2
31;193;Cendea de Olza - Oltza Zendea;1-001 -C;560;0;0;560;414;0;414;2;9;77;108;17;70;3;12;14;91;6;1;2;1;1;0
31;72;Cintruénigo;1-001 -A;578;0;0;578;404;0;404;7;4;10;139;169;11;1;3;22;23;9;1;3;1;0;1
31;72;Cintruénigo;1-001 -B;554;0;0;554;379;1;380;3;4;6;145;137;6;0;10;19;37;9;0;1;1;1;1
31;72;Cintruénigo;2-001 -A;619;0;0;619;445;0;445;5;1;19;149;199;8;2;1;13;32;8;0;1;3;2;2
31;72;Cintruénigo;2-001 -B;695;0;0;695;517;0;517;14;2;20;166;222;9;1;5;23;41;10;0;0;2;0;2
31;72;Cintruénigo;2-001 -C;575;0;0;575;424;1;425;9;3;15;140;161;10;1;5;17;46;10;0;1;5;0;2
31;72;Cintruénigo;2-002 -A;492;0;0;492;374;0;374;7;7;12;141;112;5;2;3;19;45;13;0;4;3;0;1
31;72;Cintruénigo;2-002 -B;424;0;0;424;315;1;316;5;4;7;122;105;10;0;4;28;19;7;3;1;0;0;1
31;72;Cintruénigo;2-003 -A;642;0;0;642;498;0;498;9;13;20;182;167;2;0;5;22;50;17;0;2;6;0;3
31;72;Cintruénigo;2-003 -B;684;0;0;684;538;0;538;20;15;13;171;205;7;1;7;26;46;21;0;2;1;0;3
31;74;Cirauqui - Zirauki;1-001 -U;398;0;0;398;306;0;306;4;6;43;58;19;104;2;11;6;43;3;1;1;3;2;0
31;75;Ciriza - Ziritza;1-001 -U;95;0;0;95;74;0;74;0;5;20;14;2;8;0;3;4;14;2;0;1;1;0;0
31;76;Cizur;1-001 -A;333;0;0;333;255;0;255;2;6;39;61;29;51;3;6;9;36;6;2;0;3;0;2
31;76;Cizur;1-001 -B;266;0;0;266;196;0;196;0;2;40;49;8;38;2;6;9;28;6;0;3;3;0;2
31;76;Cizur;1-001 -C;409;0;0;409;307;0;307;4;6;55;95;25;27;1;11;19;35;17;0;8;3;0;1
31;76;Cizur;1-002 -A;438;0;0;438;358;0;358;0;7;40;205;8;12;2;2;24;18;28;0;3;0;9;0
31;76;Cizur;1-002 -B;484;0;0;484;391;0;391;2;5;43;231;10;20;1;2;26;22;20;1;5;0;3;0
31;76;Cizur;1-002 -C;495;0;0;495;390;0;390;1;9;50;214;14;15;2;4;26;24;24;1;1;0;4;1
31;77;Corella;1-001 -A;675;0;0;675;513;2;515;11;12;22;214;110;13;1;8;28;77;14;0;3;1;0;1
31;77;Corella;1-001 -B;684;0;0;684;495;0;495;13;12;22;180;104;17;6;15;34;67;18;0;1;1;0;5
31;77;Corella;1-002 -A;604;0;0;604;455;0;455;13;7;25;156;121;13;1;8;27;68;8;0;1;3;0;4
31;77;Corella;1-002 -B;561;0;0;561;431;0;431;7;11;14;154;130;16;2;7;18;55;12;0;1;1;0;3
31;77;Corella;1-002 -C;791;0;0;791;577;0;577;14;9;21;202;156;10;7;4;38;85;24;0;0;4;0;3
31;77;Corella;2-001 -U;709;0;0;709;500;0;500;10;8;33;171;122;9;0;10;23;87;17;0;1;3;1;5
31;77;Corella;2-002 -A;677;0;0;677;453;0;453;7;14;25;194;98;9;0;6;21;62;12;0;1;1;1;2
31;77;Corella;2-002 -B;699;0;0;699;480;0;480;17;12;19;188;119;8;4;9;28;50;21;0;1;2;0;2
31;78;Cortes;1-001 -A;421;0;0;421;308;0;308;5;4;12;95;85;13;0;3;12;64;14;0;0;1;0;0
31;78;Cortes;1-001 -B;461;0;0;461;349;0;349;7;8;15;112;109;5;2;5;13;56;11;0;2;1;0;3
31;78;Cortes;2-001 -A;534;0;0;534;426;0;426;7;16;17;140;130;19;0;3;15;66;9;0;1;1;0;2
31;78;Cortes;2-001 -B;536;0;0;536;402;0;402;4;10;13;133;121;15;1;4;25;57;14;0;2;2;0;1
31;78;Cortes;2-001 -C;513;0;0;513;417;0;417;4;11;21;110;145;29;2;7;15;52;16;1;1;0;0;3
31;79;Desojo;1-001 -U;79;0;0;79;60;0;60;0;0;6;22;4;0;0;1;9;11;3;0;1;3;0;0
31;80;Dicastillo;1-001 -U;511;0;0;511;394;0;394;4;2;53;98;47;66;2;27;22;61;4;0;5;2;0;1
31;81;Donamaria;1-001 -U;342;0;0;342;246;0;246;4;6;75;23;3;88;0;2;12;5;1;22;1;3;1;0
31;221;Doneztebe - Santesteban;1-001 -A;584;0;0;584;446;0;446;12;6;123;66;39;142;0;6;11;34;5;1;1;0;0;0
31;221;Doneztebe - Santesteban;1-001 -B;619;0;0;619;482;0;482;8;8;130;76;44;153;0;5;12;33;6;1;4;1;0;1
31;83;Echarri;1-001 -U;55;0;0;55;40;0;40;1;7;5;10;0;8;0;1;2;2;0;0;2;2;0;0
31;61;El Busto;1-001 -U;59;0;0;59;51;0;51;0;2;2;24;14;0;0;1;2;5;0;0;0;0;0;1
31;87;Elgorriaga;1-001 -U;171;0;0;171;128;0;128;4;3;29;13;4;45;2;0;6;19;0;0;1;0;0;2
