Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,249,Valtierra,1884,0,1884,1388,58,45,496,1330,1285,65,403,556,43,4,45,26,115,19,0,3,3,0,3
31,251,Viana,3132,0,3132,2251,42,42,881,2209,2167,326,694,447,191,10,35,66,268,81,4,15,21,3,6
31,252,Vidángoz - Bidankoze,88,0,88,62,0,0,26,62,62,12,18,0,22,1,0,4,4,0,1,0,0,0,0
31,254,Villafranca,1922,0,1922,1513,15,13,409,1498,1485,98,552,457,76,3,41,25,181,37,1,4,4,3,3
31,255,Villamayor de Monjardín,100,0,100,73,1,1,27,72,71,5,32,13,6,0,2,1,10,1,0,0,0,1,0
31,257,Villatuerta,858,0,858,647,10,18,211,637,619,122,173,90,78,4,15,14,81,21,3,3,10,0,5
31,258,Villava - Atarrabia,7815,0,7815,5716,60,71,2099,5656,5585,1260,984,517,1421,18,227,83,807,121,24,33,51,11,28
31,261,Yesa,241,0,241,195,2,4,46,193,189,18,68,27,21,2,8,10,20,5,1,2,3,0,4
31,262,Zabalza - Zabaltza,212,0,212,178,1,1,34,177,176,41,44,2,34,0,8,3,38,0,1,3,1,0,1
31,73,Ziordia,326,0,326,263,5,1,63,258,257,55,31,8,120,0,2,10,22,5,0,3,0,0,1
31,907,Zizur Mayor - Zizur Nagusia,10564,0,10564,7854,64,180,2710,7790,7610,1708,1841,607,1008,39,288,229,1304,332,21,88,68,21,56
31,263,Zubieta,241,0,241,191,1,4,50,190,186,56,7,9,89,0,0,11,12,1,0,0,1,0,0
31,264,Zugarramurdi,180,0,180,114,1,3,66,113,110,23,20,2,33,0,2,6,21,1,0,1,0,0,1
31,265,Zúñiga,85,0,85,56,1,3,29,55,52,13,9,2,15,0,4,2,3,3,1,0,0,0,0
31,990,Residentes Ausentes Navarra,23156,0,23156,814,2,1,22342,812,811,76,168,94,132,13,19,86,148,27,2,22,18,1,5
Total,,,501252,15,501267,342173,4280,6610,159094,337895,331285,53497,92705,45164,48166,1740,12482,13289,46207,9993,955,2170,2304,880,1733
